ano,cod_municipio,nome_do_municipio,quantidade_de_matriculas,qt_salas_utilizadas,qt_salas_utiliza_climatizadas,qt_equip_multimidia,qt_equip_lousa_digital,qt_desktop_aluno,qt_tablet_aluno,qt_prof_pedagogia,qt_prof_gestao,qt_prof_saude,qt_prof_secretario,qt_prof_monitores,qt_escolas_com_agua_potavel,qt_escolas_com_energia_rede_publica,qt_escolas_com_esgoto_rede_publica,qt_escolas_com_lixo_servico_coleta,qt_escolas_com_banheiro_pne,qt_escolas_com_acessibilidade_rampas,qt_escolas_com_acessibilidade_sinal_visual,qt_escolas_com_orgao_conselho_escolar,qt_escolas_com_orgao_ass_pais_mestres,qt_escolas_com_orgao_gremio_estudantil,qt_escolas_com_banheiro_chuveiro,qt_escolas_com_biblioteca,qt_escolas_com_laboratorio_ciencias,qt_escolas_com_laboratorio_informatica,qt_escolas_com_quadra_esportes,ideb,media_alunos_turma,media_horas_aula,percentual_docente_curso_superior,pib_per_capita,populacao_residente,taxa_distorcao_idade_serie,grupo_1_adeq_form_docente,grupo_2_adeq_form_docente,grupo_3_adeq_form_docente,grupo_4_adeq_form_docente,grupo_5_adeq_form_docente,valor_da_producao_prod_origem_animal,area_plantada_ou_destinada_a_colheita_lavour,area_colhida_lavour,valor_da_producao_lavour,valor_da_producao_na_extracao_vegetal,efetivo_dos_rebanhos,baixa_regularidade,media_baixa_regularidade,media_alta_regularidade,alta_regularidade,nivel_1_esforco_docente,nivel_2_esforco_docente,nivel_3_esforco_docente,nivel_4_esforco_docente,nivel_5_esforco_docente,nivel_6_esforco_docente,nivel_1_gestao_escola,nivel_2_gestao_escola,nivel_3_gestao_escola,nivel_4_gestao_escola,nivel_5_gestao_escola,nivel_6_gestao_escola,valor_repassado_a_pcds_pelo_rmv,valor_repassado_a_idosos_pelo_rmv,valor_repassado_gestao_suas,valor_repassado_protecao_social_basica,valor_repassado_grupo_programas,transferencia_voluntarias_fundo_fundo,valor_total_repassado_via_fundo_municipal,valor_total_repassado_via_fundos_municipal_e_estadual,valor_repassado_gestao_programa_bolsa_familia_cadastro_unico,valor_repassado_crianca_feliz,valor_repassado_gestao_programa_auxilio_brasil,valor_repassado_protecao_social_especial_de_media_e_alta_complexidade,pessoas_com_deficiencia_beneficiarias_do_bpc,idosos_beneficiarios_do_bpc,valor_repassado_a_pcds_pelo_bpc,valor_repassado_a_idosos_pelo_bpc,total_de_beneficiarios_do_bpc,valor_total_repassado_ao_bpc,iptu,itbi,iss,irrf,fpm,cota_parte_icms,cota_parte_ipi_exp,cota_parte_ipva,cota_parte_iof_ouro,salario_educacao,pdde,pnae,pnate,convenios,operacao_de_creditos,contribuicao_na_formacao_do_fundef_fundeb_–_destinada,receita_recebida_na_redistribuicao_interna_do_fundeb_transferencia_de_recursos_do_fundeb,resultado_liquido_ganhos_ou_perdas_=_recebido_enviado,complementacao_da_uniao,receita_da_aplicacao_financeira_do_fundeb,vaaf,total_composicao_complementacao_fundeb,receitas_destinadas_ao_fundeb_fundo_estadual,receitas_recebidas_do_fundeb_fundo_estadual,valor_aplicado_em_mde,despesas_com_profissionais_da_educacao_basica,educacao_infantil,creche,pre_escola,ensino_fundamental,ensino_medio,ensino_profissional_nao_integrado_ao_ensino_regular,quota_do_salario_educacao,ideb_predito_referencia
2023,2200053,ACAUÃ,399,210,0,35,0,10,75,35,0,0,5,0,40,40,0,25,25,40,0,40,0,0,5,5,0,5,25,6.2,14.1,8.2,95.6,13228.09,6420,4.0,51.6,5.1,35.8,1.9,5.6,3623,3407,2713.0,3246.0,240,114353,0.0,0.0,44.4,55.6,9.1,13.6,52.3,25.0,0.0,0.0,44.4,44.4,11.2,0.0,0.0,0.0,0.0,0.0,0.0,209526.89,21142.61,500000,921937.43,921937.43,54146.9,128460.0,8661.03,0.0,18.0,2.0,280029.48,27630.5,20.0,307659.98,92782.84,1367.58,468423.15,605920.15,13145919.56,1377086.7,332.17,135673.04,0.0,79969.4,0.0,260239.4,131444.85,343810.43,0.0,2394524.19,4926047.8,2531523.61,4000476.25,39680.2,1620720.33,4000476.25,2394524.19,4926047.8,5062584.6,7287728.97,2291455.33,1266724.47,1024730.86,9183206.37,0.0,0.0,79969.4,5.877098
2023,2200103,AGRICOLÂNDIA,357,155,0,50,0,35,50,30,0,0,20,0,20,20,10,20,20,10,0,20,15,0,15,10,0,0,10,5.2,23.8,8.5,100.0,11606.34,4940,7.6,86.1,0.0,13.9,0.0,0.0,303,1642,1617.0,8234.0,36,15227,0.0,25.0,75.0,0.0,8.0,12.0,56.0,16.0,0.0,8.0,50.0,0.0,0.0,50.0,0.0,0.0,220752.0,0.0,0.0,153923.75,12000.0,0,320144.97,320144.97,35191.67,112728.0,6301.55,0.0,76.0,14.0,1068578.0,199830.0,90.0,1268408.0,22119.47,67629.21,580369.48,716034.25,13145919.56,729408.44,138.03,131663.45,0.0,71207.29,0.0,150372.0,28079.04,0.0,0.0,2393441.32,4110252.05,1716810.73,2707828.08,66635.87,1252071.15,2707828.08,2393441.32,4110252.05,4240698.92,4915679.88,1782329.33,564837.37,1217491.96,6749423.66,0.0,0.0,71207.29,5.649549
2023,2200202,ÁGUA BRANCA,1071,565,190,95,0,245,75,45,10,0,70,20,75,75,15,75,35,30,0,75,0,25,45,5,5,40,35,6.8,21.0,7.7,95.1,17272.65,17573,3.7,63.3,3.3,24.8,4.8,3.8,1064,519,484.0,1984.0,23,39628,0.0,26.3,68.4,5.3,13.0,27.0,23.0,31.0,5.0,1.0,35.0,15.0,5.0,40.0,5.0,0.0,1467547.34,0.0,0.0,190932.97,36504.41,1445000,1921961.0,1921961.0,100497.02,73812.0,10484.73,64729.87,665.0,149.0,10003682.9,2228756.58,814.0,12232439.48,487199.96,501628.06,1576040.38,1974615.88,26291839.09,5345525.67,825.16,1108835.11,0.0,226577.0,0.0,758057.22,60316.52,0.0,0.0,5856208.1,15440809.84,9584601.74,12578812.59,210030.72,4662016.02,12578812.59,5856208.1,15440809.84,9906104.02,20569504.47,7161758.46,5117947.17,2043811.29,24302579.75,0.0,0.0,226577.0,6.0123005
2023,2200251,ALAGOINHA DO PIAUÍ,337,185,60,30,5,65,95,15,35,0,15,0,30,30,5,25,10,20,5,30,0,0,0,10,0,5,5,5.3,14.5,4.0,100.0,11847.35,6819,4.5,92.1,0.0,3.3,4.6,0.0,2130,7070,7070.0,6057.0,632,64495,0.0,0.0,57.1,42.9,4.8,9.5,28.6,42.9,7.1,7.1,28.6,14.3,28.6,0.0,0.0,28.5,15768.0,0.0,0.0,153923.75,24617.63,425000,819285.12,819285.12,62305.54,143385.0,10053.2,0.0,116.0,4.0,1670450.53,74917.2,120.0,1745367.73,37397.25,15473.46,303525.13,3178.69,13145919.56,1077606.12,252.71,373187.52,0.0,66798.92,0.0,97146.6,110293.29,0.0,0.0,2393473.31,3925564.31,1532091.0,1568153.39,8678.38,1200154.02,1568153.39,2393473.31,3925564.31,4293077.68,4444606.17,2068283.46,968283.46,1100000.0,6461275.81,0.0,0.0,66798.92,6.07617
2023,2200277,ALEGRETE DO PIAUÍ,285,200,105,25,5,30,0,25,15,0,40,0,40,45,5,25,5,20,0,45,0,0,10,10,0,0,5,5.8,15.0,7.2,100.0,12162.15,4634,4.2,72.1,0.0,23.3,4.6,0.0,814,2580,2580.0,5099.0,392,22408,22.2,55.6,22.2,0.0,40.8,33.3,3.7,7.4,14.8,0.0,33.3,22.2,22.2,22.3,0.0,0.0,15768.0,0.0,0.0,153923.75,12000.0,200000,512351.54,512351.54,37816.97,102727.5,5883.32,0.0,54.0,16.0,792453.36,202525.05,70.0,994978.41,14204.42,0.0,261316.72,265685.42,13319985.21,1257321.61,172.64,342026.09,0.0,74345.21,0.0,111982.8,37383.71,109276.52,0.0,2644778.11,4141248.86,1496470.75,2568199.88,0.0,1272039.93,2568199.88,2644778.11,4141248.86,3954407.3,4754805.31,2660195.16,967533.3,1692661.86,6063926.02,0.0,0.0,74345.21,6.182064
2023,2200301,ALTO LONGÁ,663,710,195,115,0,90,10,125,10,0,55,30,110,110,25,60,40,55,25,90,0,0,35,40,5,20,55,5.6,15.3,5.7,91.8,10899.42,13479,2.3,70.7,0.0,15.6,2.7,11.0,1777,3075,3075.0,6313.0,1706,165158,4.5,81.8,13.7,0.0,53.4,11.1,8.9,13.3,4.4,8.9,39.1,17.4,13.0,21.7,8.8,0.0,94608.0,0.0,0.0,227580.15,35801.13,500000,1031253.05,1031253.05,107110.78,143769.0,16991.99,0.0,124.0,24.0,1770555.86,373315.28,148.0,2143871.14,43604.49,50291.09,673425.92,292947.06,22353269.21,2839707.67,512.54,134653.06,0.0,152133.38,7260.0,331754.0,118473.2,594184.64,0.0,4526487.59,9207762.82,4681275.23,6586842.17,11179.97,2818891.48,6586842.17,4526487.59,9207762.82,8176315.06,13208497.01,3579391.03,2313829.59,1257861.44,17182670.9,0.0,0.0,152133.38,6.084201
2023,2200400,ALTOS,2955,1405,925,175,15,385,430,90,45,10,40,5,200,200,35,160,80,85,0,200,5,10,70,50,0,55,60,7.0,23.7,7.7,90.4,16119.4,47453,3.4,79.0,2.6,8.6,0.4,9.4,1898,1663,1663.0,6072.0,1710,1137016,13.6,54.5,25.0,6.9,12.9,39.0,24.1,17.1,5.3,1.6,58.7,17.4,4.3,15.2,4.4,0.0,748699.2,47304.0,0.0,369480.43,29816.37,1500000,2669817.25,2669817.25,248116.2,408808.5,41397.05,72198.7,1113.0,317.0,16562153.42,4861135.8,1430.0,21423289.22,658757.95,951216.37,4346695.97,8202444.97,41658293.77,8843266.8,2175.46,2012618.27,0.0,570505.09,0.0,1938625.8,317536.9,0.0,0.0,9726092.42,39493256.66,29767164.24,39842120.56,478617.83,12044996.4,39842120.56,9726092.42,39493256.66,16873923.22,55245606.74,19944059.89,6902909.58,12677122.5,75363181.33,0.0,0.0,570505.09,6.135528
2023,2200459,ALVORADA DO GURGUÉIA,406,260,75,35,0,145,5,5,10,0,25,20,40,40,10,15,5,35,0,35,5,0,20,10,0,20,5,4.8,12.7,8.5,57.9,20497.64,5322,4.7,40.7,1.9,14.4,1.5,41.5,372,5349,5349.0,41529.0,118,17420,0.0,12.5,87.5,0.0,35.0,43.9,15.8,1.8,3.5,0.0,25.0,62.5,0.0,0.0,0.0,12.5,0.0,0.0,0.0,197991.75,12000.0,200000,560016.03,560016.03,38056.08,105793.5,6174.7,0.0,25.0,5.0,357525.92,116894.87,30.0,474420.79,8366.04,79261.16,793116.46,561406.33,13145919.56,2512527.47,407.97,83630.73,0.0,92974.0,1862.02,295268.86,11559.84,0.0,0.0,2923770.05,6141620.88,3217850.83,4170821.3,12603.68,1873340.72,4170821.3,2923770.05,6141620.88,5165922.05,8192230.44,1497742.17,290556.62,1207185.55,12324313.55,0.0,0.0,92974.0,5.16789
2023,2200509,AMARANTE,1103,705,475,90,0,155,220,60,25,0,105,1333605,100,130,10,50,35,50,0,95,0,5,25,20,5,20,20,4.4,16.5,9.0,94.7,14155.37,17234,7.2,71.8,0.0,23.4,0.0,4.8,687,4665,4415.0,9257.0,311,92187,8.0,16.0,52.0,24.0,50.4,8.8,23.9,13.3,0.9,2.7,29.0,16.1,12.9,35.5,6.5,0.0,1373896.74,0.0,0.0,173695.18,46033.13,525000,1105875.14,1105875.14,118625.53,148164.0,19935.87,74421.43,591.0,105.0,9145094.57,1721105.08,696.0,10866199.65,73841.32,38958.75,1941138.24,2482371.71,26291839.09,3041445.88,920.4,511801.6,0.0,302025.69,8220.0,880326.8,261120.42,229750.9,0.0,5499024.24,19013333.23,13514308.99,17007359.71,70037.3,5817749.53,17007359.71,5499024.24,19013333.23,9137841.17,26109822.76,11816526.49,7779184.12,3599404.9,28903208.17,0.0,0.0,302025.69,5.595168
2023,2200608,ANGICAL DO PIAUÍ,466,345,205,444475,55,185,160,70,15,25,20,15,45,45,5,40,15,35,5,40,0,5,25,15,10,15,10,6.8,21.6,4.4,100.0,12417.16,6827,2.6,65.5,0.0,15.2,19.3,0.0,554,952,893.0,2337.0,81,137314,25.0,33.3,41.7,0.0,26.5,11.8,20.6,23.5,8.8,8.8,33.3,25.0,16.7,8.3,16.7,0.0,479552.2,0.0,0.0,153923.75,33056.97,635000,1109973.24,1109973.24,50038.66,143466.0,7849.41,86638.45,177.0,25.0,2666462.23,375817.35,202.0,3042279.58,2228.04,14915.5,371151.08,876710.39,13145919.56,1514223.3,272.9,261486.41,0.0,87350.73,3300.0,127017.4,51630.36,225849.86,0.0,2748987.45,4804108.44,2055120.99,3232114.67,53724.68,1473426.98,3232114.67,2748987.45,4804108.44,4672705.85,6454323.84,3187671.71,792747.25,2394924.46,7292049.3,0.0,0.0,87350.73,6.125432
