variavel,rotulo,n_validos,n_ausentes,min,p01,p05,mediana,p95,p99,max
quantidade_de_matriculas,Quantidade de matrículas,1262,0,101.0,158.61,219.10000000000002,523.5,3101.95,4869.110000000005,41874.0
media_alunos_turma,Média de alunos por turma,1262,0,5.3,8.7,11.5,18.7,24.4,27.07800000000002,31.2
percentual_docente_curso_superior,Percentual de docentes com curso superior,1262,0,7.0,21.005,33.91,80.0,100.0,100.0,100.0
pib_per_capita,PIB per capita municipal,1262,0,3790.21,4327.2062,4852.866,8591.54,27279.497500000005,77478.50190000076,200215.82
taxa_distorcao_idade_serie,Taxa de distorção idade-série,1262,0,0.0,1.3,3.9,20.1,39.69500000000001,46.99500000000005,60.0
grupo_1_adeq_form_docente,Professores com formação superior adequada à área lecionada,1262,0,0.8,7.544,14.805000000000001,46.5,82.69500000000001,91.7,100.0
grupo_5_adeq_form_docente,Professores sem curso superior completo,1262,0,0.0,0.0,0.0,21.3,72.49000000000001,83.739,91.7
area_colhida_lavour,Área colhida de lavouras,1260,2,8.0,257.0,514.0,2007.0,21871.049999999963,131627.5800000006,383157.0
valor_da_producao_na_extracao_vegetal,Valor da produção na extração vegetal,1262,0,5.0,13.0,29.050000000000004,311.5,3909.2000000000007,7078.9000000000215,21980.0
efetivo_dos_rebanhos,Efetivo dos rebanhos,1262,0,1638.0,7206.0199999999995,14266.300000000001,43936.0,197858.25,632503.8700000113,3857476.0
nivel_3_esforco_docente,Docentes em nível intermediário de esforço docente,1262,0,0.0,0.0,6.005000000000001,23.75,51.89000000000001,66.7,87.5
nivel_1_gestao_escola,Escolas com menor complexidade de gestão,1262,0,0.0,0.0,0.0,25.0,60.0,73.3,81.0
nivel_3_gestao_escola,Escolas com complexidade intermediária de gestão,1262,0,0.0,0.0,0.0,14.5,44.32500000000007,58.23100000000029,80.0
nivel_4_gestao_escola,Escolas com complexidade intermediária-alta de gestão,1262,0,0.0,0.0,0.0,11.2,40.0,60.0,75.0
valor_repassado_gestao_suas,Repasses para gestão do SUAS,1262,0,0.0,0.0,0.0,12065.295,41397.113000000005,70065.35060000002,461136.72
valor_repassado_protecao_social_basica,Repasses à proteção social básica,1262,0,44000.0,67272.4435,73885.3,195000.0,509784.2635000001,913114.3865000006,6487500.0
valor_repassado_crianca_feliz,Repasses do Programa Criança Feliz,1262,0,0.0,0.0,0.0,49758.5,179284.05000000002,320580.5280000045,1543127.0
iptu,Arrecadação de IPTU,1260,2,0.0,0.0,100.0,5426.3099999999995,419807.4044999991,2419036.6345000127,141352685.04
iss,Arrecadação de ISS,1260,2,0.0,13560.658099999999,38605.6565,194639.155,3200699.631999999,13773805.9083001,424773452.59
fpm,Fundo de Participação dos Municípios,1260,2,0.0,5222419.3318,5222419.35,8040966.24,26275757.7275,55308048.72920054,963118774.97
cota_parte_icms,Cota-parte do ICMS,1260,2,0.0,153007.2921,298455.318,1005118.51,13031809.071999991,43238270.496100046,533335732.72
cota_parte_ipi_exp,Cota-parte do IPI-Exportação,1260,2,0.0,38.6404,79.929,273.54499999999996,3931.9864999999945,19982.703300000307,258960.28
cota_parte_ipva,Cota-parte do IPVA,1260,2,0.0,295.58500000000004,6077.607000000001,58140.065,1013340.79,7096575.249600074,158048023.2
convenios,Convênios,1260,2,-70.85,0.0,0.0,0.0,595128.7939999996,1195525.6221000063,18005978.28
contribuicao_na_formacao_do_fundef_fundeb_–_destinada,Contribuição destinada à formação do Fundef/Fundeb,1260,2,0.0,1062994.8827,1110695.861,1925515.465,7174806.195499999,19606200.004900128,320679472.35
receita_da_aplicacao_financeira_do_fundeb,Receita de aplicação financeira do Fundeb,1260,2,0.0,0.0,0.0,6226.87,111106.72649999996,441163.32780000445,1946345.96
receitas_destinadas_ao_fundeb_fundo_estadual,Receitas destinadas ao Fundeb estadual,1259,3,0.0,1062980.8974000001,1110665.232,1924250.06,7156214.173999999,19621650.433800112,320679472.35
valor_aplicado_em_mde,Valor aplicado em manutenção e desenvolvimento do ensino,1260,2,0.0,1563297.3839,1753445.4305,2971177.385,12223102.669499997,37989752.06700001,774454428.67
creche,Despesas associadas à creche,1260,2,0.0,0.0,0.0,295819.0,2885495.0769999987,7561729.956100017,80309011.33
pre_escola,Despesas associadas à pré-escola,1260,2,0.0,36459.9586,127214.11600000001,546304.575,3517822.882999999,12289633.804500045,182229442.2
